frame,time_s,centL_x,centL_y,centL_z,vLx,vLy,vLz,vL_sx,vL_sy,vL_sz,uLx,uLy,uLz,thetaL_xy_deg,speedL,centR_x,centR_y,centR_z,vRx,vRy,vRz,vR_sx,vR_sy,vR_sz,uRx,uRy,uRz,thetaR_xy_deg,speedR,is_milestone
0,0.0,0.1639057844877243,0.22363996505737305,-0.1050344854593277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.16514135897159576,-0.14121919870376587,-0.09112655371427536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1
1,0.03333333333333333,0.1589057892560959,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.0019999980926513673,0.0,0.0,-1.0,0.0,0.0,179.99999997135208,0.0019999980926513673,0.16014136373996735,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.0019999980926513673,0.0,0.0,-1.0,0.0,0.0,179.99999997135208,0.0019999980926513673,0
2,0.06666666666666667,0.15390579402446747,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.0031999969482421876,0.0,0.0,-1.0,0.0,0.0,179.99999998209506,0.0031999969482421876,0.15514136850833893,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.0031999969482421876,0.0,0.0,-1.0,0.0,0.0,179.99999998209506,0.0031999969482421876,0
3,0.1,0.14890579879283905,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.0039199962615966795,0.0,0.0,-1.0,0.0,0.0,179.9999999853837,0.0039199962615966795,0.1501413732767105,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.0039199962615966795,0.0,0.0,-1.0,0.0,0.0,179.9999999853837,0.0039199962615966795,0
4,0.13333333333333333,0.14390580356121063,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.004351995849609375,0.0,0.0,-1.0,0.0,0.0,179.99999998683458,0.004351995849609375,0.1451413780450821,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004351995849609375,0.0,0.0,-1.0,0.0,0.0,179.99999998683458,0.004351995849609375,0
5,0.16666666666666666,0.1389058232307434,0.22363996505737305,-0.1050344854593277,-0.004999980330467224,0.0,0.0,-0.004611189641952515,0.0,0.0,-1.0,0.0,0.0,179.99999998757463,0.004611189641952515,0.14014138281345367,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004611195602416992,0.0,0.0,-1.0,0.0,0.0,179.99999998757465,0.004611195602416992,0
6,0.2,0.133905827999115,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.004766711877822877,0.0,0.0,-1.0,0.0,0.0,179.99999998798003,0.004766711877822877,0.13514137268066406,-0.14121919870376587,-0.09112655371427536,-0.005000010132789612,0.0,0.0,-0.00476672141456604,0.0,0.0,-1.0,0.0,0.0,179.99999998798006,0.00476672141456604,0
7,0.23333333333333334,0.12890581786632538,0.22363996505737305,-0.1050344854593277,-0.005000010132789612,0.0,0.0,-0.004860031179809571,0.0,0.0,-1.0,0.0,0.0,179.99999998821082,0.004860031179809571,0.13014137744903564,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004860030941390991,0.0,0.0,-1.0,0.0,0.0,179.99999998821082,0.004860030941390991,0
8,0.26666666666666666,0.12390582263469696,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.004916016800537109,0.0,0.0,-1.0,0.0,0.0,179.99999998834508,0.004916016800537109,0.12514138221740723,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004916016657485962,0.0,0.0,-1.0,0.0,0.0,179.99999998834508,0.004916016657485962,0
9,0.3,0.11890581995248795,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.004949611153205871,0.0,0.0,-1.0,0.0,0.0,179.99999998842418,0.004949611153205871,0.12014137953519821,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.004949611067375183,0.0,0.0,-1.0,0.0,0.0,179.99999998842418,0.004949611067375183,0
10,0.3333333333333333,0.11390582472085953,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.00496976478457489,0.0,0.0,-1.0,0.0,0.0,179.99999998847113,0.00496976478457489,0.1151413768529892,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.004969767713308716,0.0,0.0,-1.0,0.0,0.0,179.99999998847113,0.004969767713308716,0
11,0.36666666666666664,0.10890581458806992,0.22363996505737305,-0.1050344854593277,-0.005000010132789612,0.0,0.0,-0.004981862923860779,0.0,0.0,-1.0,0.0,0.0,179.99999998849913,0.004981862923860779,0.11014138162136078,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004981858720636597,0.0,0.0,-1.0,0.0,0.0,179.99999998849913,0.004981858720636597,0
12,0.4,0.1039058119058609,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.004989118827200073,0.0,0.0,-1.0,0.0,0.0,179.99999998851587,0.004989118827200073,0.10514138638973236,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004989113325033325,0.0,0.0,-1.0,0.0,0.0,179.99999998851584,0.004989113325033325,0
13,0.43333333333333335,0.09890580922365189,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.00499347236920365,0.0,0.0,-1.0,0.0,0.0,179.99999998852584,0.00499347236920365,0.10014137625694275,-0.14121919870376587,-0.09112655371427536,-0.005000010132789612,0.0,0.0,-0.00499347204813584,0.0,0.0,-1.0,0.0,0.0,179.99999998852584,0.00499347204813584,0
14,0.4666666666666667,0.09390581399202347,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.004996081514173557,0.0,0.0,-1.0,0.0,0.0,179.99999998853187,0.004996081514173557,0.09514138102531433,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.004996081321532871,0.0,0.0,-1.0,0.0,0.0,179.99999998853187,0.004996081321532871,0
15,0.5,0.08890581130981445,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.00499764998138774,0.0,0.0,-1.0,0.0,0.0,179.99999998853545,0.00499764998138774,0.09014137834310532,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.004997649865803328,0.0,0.0,-1.0,0.0,0.0,179.99999998853545,0.004997649865803328,0
16,0.5333333333333333,0.08390580862760544,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.00499859106171625,0.0,0.0,-1.0,0.0,0.0,179.9999999885376,0.00499859106171625,0.0851413756608963,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.0049985909923656036,0.0,0.0,-1.0,0.0,0.0,179.9999999885376,0.0049985909923656036,0
17,0.5666666666666667,0.07890581339597702,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.004999152729681117,0.0,0.0,-1.0,0.0,0.0,179.99999998853892,0.004999152729681117,0.08014138042926788,-0.14121919870376587,-0.09112655371427536,-0.004999995231628418,0.0,0.0,-0.0049991526880707295,0.0,0.0,-1.0,0.0,0.0,179.99999998853892,0.0049991526880707295,0
18,0.6,0.0739058181643486,0.22363996505737305,-0.1050344854593277,-0.004999995231628418,0.0,0.0,-0.004999489730460037,0.0,0.0,-1.0,0.0,0.0,179.99999998853968,0.004999489730460037,0.07514137029647827,-0.14121919870376587,-0.09112655371427536,-0.005000010132789612,0.0,0.0,-0.004999495665958283,0.0,0.0,-1.0,0.0,0.0,179.99999998853968,0.004999495665958283,0
19,0.6333333333333333,0.06890581548213959,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.0049996949111596285,0.0,0.0,-1.0,0.0,0.0,179.99999998854017,0.0049996949111596285,0.07014136761426926,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.004999698472458576,0.0,0.0,-1.0,0.0,0.0,179.99999998854017,0.004999698472458576,0
20,0.6666666666666666,0.06390581279993057,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.004999818019579383,0.0,0.0,-1.0,0.0,0.0,179.99999998854042,0.004999818019579383,0.06514136493206024,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.004999820156358752,0.0,0.0,-1.0,0.0,0.0,179.99999998854042,0.004999820156358752,0
21,0.7,0.05890581011772156,0.22363996505737305,-0.1050344854593277,-0.005000002682209015,0.0,0.0,-0.004999891884631236,0.0,0.0,-1.0,0.0,0.0,179.9999999885406,0.004999891884631236,0.06014137342572212,-0.14121919870376587,-0.09112655371427536,-0.0049999915063381195,0.0,0.0,-0.004999888696350499,0.0,0.0,-1.0,0.0,0.0,179.9999999885406,0.004999888696350499,0
22,0.7333333333333333,0.05390581116080284,0.22363996505737305,-0.1050344854593277,-0.004999998956918716,0.0,0.0,-0.004999934713546228,0.0,0.0,-1.0,0.0,0.0,179.99999998854068,0.004999934713546228,0.05514135956764221,-0.14121919870376587,-0.09112655371427536,-0.00500001385807991,0.0,0.0,-0.004999938761042264,0.0,0.0,-1.0,0.0,0.0,179.9999999885407,0.004999938761042264,0
23,0.7666666666666667,0.048905812203884125,0.22363996505737305,-0.1050344854593277,-0.004999998956918716,0.0,0.0,-0.004999960410895224,0.0,0.0,-1.0,0.0,0.0,179.99999998854074,0.004999960410895224,0.050141360610723495,-0.14121919870376587,-0.09112655371427536,-0.004999998956918716,0.0,0.0,-0.004999962839392845,0.0,0.0,-1.0,0.0,0.0,179.99999998854076,0.004999962839392845,0
24,0.8,0.04390581324696541,0.22363996505737305,-0.1050344854593277,-0.004999998956918716,0.0,0.0,-0.004999975829304621,0.0,0.0,-1.0,0.0,0.0,179.9999999885408,0.004999975829304621,0.04514135792851448,-0.14121919870376587,-0.09112655371427536,-0.005000002682209015,0.0,0.0,-0.004999978776519313,0.0,0.0,-1.0,0.0,0.0,179.9999999885408,0.004999978776519313,0
